Number,Company Name,First Name,Last Name,Street,City,State,Postal,Phone,E-mail,Remarks,Deceased?
653377813-7,,Karita & Kelvin,Lumbers,4 Bunting Parkway,Washington,DC,20535-871,kklumbers@ yahoo.co,,Is anonymous,
390551098-7,,Helga,Benech,48684 Jenifer Way,Las Vegas,NV,89130,,ebenech1@goodreads.com,,
093004505-X,,Masha,,353 Schmedeman Park,Indianapolis,IN,,,577-374-96523,,
729707142-0,A Company Co.,,,2055 Lakewood Parkway,Camden,NJ,8104,,,,No
488464926-5,,Hoyt,Castille,37 8th Trail,Grand Rapids,MI,49560,,fcastille4@timesonline.co.uk,,No
315297729-8,,Benedict,Oscar,4225 Madison Ave,Boise,ID,837016,,,,
848348568-0,,Mannie,Turpin,,,NV,,702-844-9524,,Met in person on 5/9/2018 at Annual Event,Yes
029456846-8,,,,608 Old Shore Alley,Marietta,GA,30066,,jdoley6@telegraph.co.uk,,
687119652-8,,Ruggiero,Makepeace,15 Sunbrook Center,Omaha,NE,68164,,cmakepeace7@1688.com,Electronic receipt only,
739131380-7,,Rosemaria and Rogelio,Dimond,,Juneau,AK,,,,,
315297729-8,,Idell,Mouncey,365 Troy Park,Toledo,OH,43635,,dmouncey9@cnn.com,,
