LegacyContactId,LegacyIndividualId,ContactType,ContactName,FirstName,LastName,SecondaryLegacyIndividualId,SecondaryFirstName,SecondaryLastName,HomePhone,HomeEmail,Address1,City,State,PostalCode,IsPrivate,IsDeceased
653377813-7,0,Household,Karita & Kelvin Lumbers,Karita,Lumbers,1,Kelvin,Lumbers,832-442-4988,kklumbers@yahoo.com,4 Bunting Parkway,Washington,DC,,True,False
390551098-7,2,Household,Helga Benech,Helga,Benech,,,,,ebenech1@goodreads.com,48684 Jenifer Way,Las Vegas,NV,89130,False,False
093004505-X,3,Household,Masha Butt Gow,Masha,Butt Gow,,,,818-323-9865,,353 Schmedeman Park,Indianapolis,IN,,False,False
729707142-0,4,Organization,Cymbre Cross,Cymbre,Cross,,,,,,2055 Lakewood Parkway,Camden,NJ,,False,False
488464926-5,5,Household,Hoyt Castille,Hoyt,Castille,,,,,fcastille4@timesonline.co.uk,37 8th Trail,Grand Rapids,MI,49560,False,False
315297729-8,6,Household,Benedict Oscar & Idell Mouncey,Benedict,Oscar,7,Idell,Mouncey,,dmouncey9@cnn.com,4225 Madison Ave,Boise,ID,,False,False
848348568-0,8,Household,Mannie Turpin,Mannie,Turpin,,,,702-844-9524,,,,NV,,False,True
029456846-8,9,Household,Romy Doley,Romy,Doley,,,,,jdoley6@telegraph.co.uk,608 Old Shore Alley,Marietta,GA,30066,False,False
687119652-8,10,Household,Ruggiero Makepeace,Ruggiero,Makepeace,,,,,cmakepeace7@1688.com,15 Sunbrook Center,Omaha,NE,68164,False,False
739131380-7,11,Household,Rosemaria & Rogelio Dimond,Rosemaria,Dimond,12,Rogelio,Dimond,,,,Juneau,AK,,False,False
809975531-Y,13,Household,Adeline Shakespeare,Adeline,Shakespeare,,,,,,,,,,False,False
